formId,formName,fieldName,fieldType,values,required
bakery-bread,Bread Order,Size,Dropdown,Small|Medium|Large,Yes
bakery-bread,Bread Order,Slicing,Dropdown,Unsliced|Sliced,Yes
bakery-filled-pocket,Filled Pocket Order,Filling,Dropdown,Cheese|Tuna|Beef|Spinach|Mushroom,Yes
bakery-filled-pocket,Filled Pocket Order,Pack Size,Dropdown,Single|Half Dozen|Dozen,Yes
blanket-order,Baby Blanket Order,Color,Dropdown,Cream|Sage|Rose|Navy|Charcoal,Yes
blanket-order,Baby Blanket Order,Size,Dropdown,Baby|Crib|Toddler,Yes
blanket-order,Baby Blanket Order,Personalization,Textbox,,No
hat-order,Hat Order,Size,Dropdown,S|M|L|XL,Yes
hat-order,Hat Order,Color,Dropdown,Black|White|Navy|Olive|Burgundy,Yes
hat-order,Hat Order,Fabric,Dropdown,Cotton|Wool|Blend|Other,Yes
rice-pack-order,Rice Pack Order,Size,Dropdown,Standard|Large|Shoulder,Yes
rice-pack-order,Rice Pack Order,Fabric Color,Dropdown,Cream|Sage|Navy|Blush|Other,Yes
shirt-order,Custom Shirt Order,Shirt Size,Dropdown,XS|S|M|L|XL|XXL,Yes
shirt-order,Custom Shirt Order,Shirt Color,Dropdown,Black|White|Navy|Sage|Dusty Rose|Other,Yes
shirt-order,Custom Shirt Order,Theme,Dropdown,Floral|Birthday|Seasonal|Geometric|Other,No
